,latitude,longitude,station_name,climate_id,datetime,temp,year,month,feature_id,map,temperature_celsius_avg,temperature_celsius_min,temperature_celsius_max,temperature_celsius_yoy_avg
47,43.0,-80.0,TORONTO CITY,6158355,2024-09-01 23:00,16.9,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
48,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 00:00,16.4,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
49,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 00:00,16.4,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
50,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 01:00,15.5,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
51,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 01:00,15.5,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
52,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 02:00,15.2,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
53,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 02:00,15.2,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
54,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 03:00,14.5,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
55,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 03:00,14.5,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
56,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 04:00,14.3,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
57,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 04:00,14.3,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
58,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 05:00,13.8,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
59,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 05:00,13.8,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
60,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 06:00,13.5,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
61,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 06:00,13.5,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
62,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 07:00,14.5,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
63,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 07:00,14.5,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
64,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 08:00,15.2,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
65,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 08:00,15.2,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
66,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 09:00,15.4,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
67,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 09:00,15.4,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
68,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 10:00,16.3,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
69,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 10:00,16.3,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
70,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 11:00,17.2,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
71,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 11:00,17.2,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
72,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 12:00,18.7,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
73,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 12:00,18.7,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
74,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 13:00,19.4,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
75,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 13:00,19.4,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
76,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 14:00,19.8,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
77,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 14:00,19.8,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
78,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 15:00,20.0,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
79,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 15:00,20.0,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
80,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 16:00,19.7,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
81,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 16:00,19.7,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
82,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 17:00,19.4,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
83,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 17:00,19.4,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
84,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 18:00,18.5,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
85,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 18:00,18.5,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
86,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 19:00,17.5,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
87,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 19:00,17.5,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
88,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 20:00,16.1,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
89,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 20:00,16.1,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
90,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 21:00,15.2,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
91,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 21:00,15.2,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
92,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 22:00,14.4,2024,9,0e31fef3d05311d892e2080020a0f4c9,030M11,19.276216968011127,8.7,28.3,0.3792725235666836
93,43.0,-80.0,TORONTO CITY,6158355,2024-09-02 22:00,14.4,2024,9,582aeb6dc6ce11d892e2080020a0f4c9,030M04,19.276216968011127,8.7,28.3,0.3792725235666836
