,latitude,longitude,station_name,climate_id,datetime,temp,feature_id,map
768,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 01:00,19.8,0e31fef3d05311d892e2080020a0f4c9,030M11
769,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 01:00,19.8,582aeb6dc6ce11d892e2080020a0f4c9,030M04
770,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 02:00,19.3,0e31fef3d05311d892e2080020a0f4c9,030M11
771,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 02:00,19.3,582aeb6dc6ce11d892e2080020a0f4c9,030M04
772,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 03:00,18.6,0e31fef3d05311d892e2080020a0f4c9,030M11
773,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 03:00,18.6,582aeb6dc6ce11d892e2080020a0f4c9,030M04
774,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 04:00,18.3,0e31fef3d05311d892e2080020a0f4c9,030M11
775,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 04:00,18.3,582aeb6dc6ce11d892e2080020a0f4c9,030M04
776,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 05:00,18.0,0e31fef3d05311d892e2080020a0f4c9,030M11
777,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 05:00,18.0,582aeb6dc6ce11d892e2080020a0f4c9,030M04
778,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 06:00,17.4,0e31fef3d05311d892e2080020a0f4c9,030M11
779,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 06:00,17.4,582aeb6dc6ce11d892e2080020a0f4c9,030M04
780,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 07:00,18.0,0e31fef3d05311d892e2080020a0f4c9,030M11
781,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 07:00,18.0,582aeb6dc6ce11d892e2080020a0f4c9,030M04
782,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 08:00,20.4,0e31fef3d05311d892e2080020a0f4c9,030M11
783,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 08:00,20.4,582aeb6dc6ce11d892e2080020a0f4c9,030M04
784,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 09:00,22.3,0e31fef3d05311d892e2080020a0f4c9,030M11
785,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 09:00,22.3,582aeb6dc6ce11d892e2080020a0f4c9,030M04
786,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 10:00,23.5,0e31fef3d05311d892e2080020a0f4c9,030M11
787,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 10:00,23.5,582aeb6dc6ce11d892e2080020a0f4c9,030M04
788,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 11:00,24.8,0e31fef3d05311d892e2080020a0f4c9,030M11
789,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 11:00,24.8,582aeb6dc6ce11d892e2080020a0f4c9,030M04
790,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 12:00,25.0,0e31fef3d05311d892e2080020a0f4c9,030M11
791,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 12:00,25.0,582aeb6dc6ce11d892e2080020a0f4c9,030M04
792,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 13:00,25.2,0e31fef3d05311d892e2080020a0f4c9,030M11
793,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 13:00,25.2,582aeb6dc6ce11d892e2080020a0f4c9,030M04
794,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 14:00,24.1,0e31fef3d05311d892e2080020a0f4c9,030M11
795,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 14:00,24.1,582aeb6dc6ce11d892e2080020a0f4c9,030M04
796,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 15:00,24.2,0e31fef3d05311d892e2080020a0f4c9,030M11
797,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 15:00,24.2,582aeb6dc6ce11d892e2080020a0f4c9,030M04
798,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 16:00,23.7,0e31fef3d05311d892e2080020a0f4c9,030M11
799,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 16:00,23.7,582aeb6dc6ce11d892e2080020a0f4c9,030M04
800,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 17:00,23.5,0e31fef3d05311d892e2080020a0f4c9,030M11
801,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 17:00,23.5,582aeb6dc6ce11d892e2080020a0f4c9,030M04
802,43.0,-80.0,TORONTO CITY,6158355,2024-09-17 18:00,22.2,0e31fef3d05311d892e2080020a0f4c9,030M11
